TID,English Term,English Definition,Spanish Term,Spanish Definition
4,Accuracy,Accuracy is the degree of how close a measurement is to the true value of the measurement.,Exactitud,La exactitud es el grado de locuáncercaqueestáuna mediciónestádel valor verdadero de la cantidad que se mide.
5,Acute angle,An acute angle is an angle whose measure is between 0 and 90.,Ángulo agudo,Un ángulo agudo es un ángulo que mide entre 0 y 90 grados.
6,Acute triangle,An acute triangle has three acute angles.,Triángulo acutángulo,Un triángulo acutángulo tiene los tres ángulos agudos.
7,Additive identity,The additive identity is 0. The sum of 0 and any number is that number. The sum of opposites is 0.,Identidad aditiva,La identidad aditiva es 0. La suma de 0 y cualquier número es ese mismo número. La suma de opuestos es 0.
8,Additive inverse,The opposite or additive inverse of any number a is –a. The sum of opposites is 0.,Inverso aditivo,El opuesto o inverso aditivo de cualquier número a es –a. La suma de los opuestos es 0.
9,Adjacent angles,Adjacent angles are two coplanar angles that have a common side and a common vertex but no common interior points.,Ángulos adyacentes,"Los ángulos adyacentes son dos ángulos coplanares que tienen un lado común y el mismo vértice, pero no tienen puntos interiores comunes."
10,Adjacent arcs,Adjacent arcs are on the same circle and have exactly one point in common.,Arcos adyacentes,Los arcos adyacentes están en el mismo círculo y tienen exactamente un punto en común.
11,Algebraic expression,A mathematical phrase that includes one or more variables and may contain constants and operations is called algebraic expression.,Expresión algebraica,Frase matemática que contiene una o más variables y que se denomina expresión algebraica.
13,Alternative hypothesis,An alternative hypothesis is a statement that expresses that there is a difference between the parameter and the benchmark.,Hipótesis alternativa,Una hipótesis alternativa es un enunciado que expresa que hay una diferencia entre el parámetro y el punto de referencia.
16,Amplitude,The amplitude of a periodic function is half the difference between the maximum and minimum values of the function.,Amplitud,La amplitud de una función periódica es la mitad de la diferencia entre los valores máximo y mínimo de la función.
18,Angle bisector,An angle bisector is a ray that divides an angle into two congruent angles.,Bisectriz de un ángulo,La bisectriz de un ángulo es una semirrecta que divide al ángulo en dos ángulos congruentes.
19,Angle of depression,"An angle of depression is the angle from the horizontal down to a line of sight, and it is used to measure heights indirectly.",Ángulo de depresión,Un ángulo de depresión es el ángulo de la horizontal hacia la línea de vista. Ángulo con que se miden indirectamente las alturas.
20,Angle of elevation,An angle of elevation is an angle from the horizontal up to a line of sight. It is used to measure heights indirectly.,Ángulo de elevación,"Ángulo de la horizontal hacia la línea de vista, conocido como ángulo de elevación, y con el que se miden las alturas indirectamente."
22,Apothem,The apothem of a regular polygon is the distance from the center to a side.,Apotema,La apotema de un polígono regular es la distancia desde el centro hasta un lado.
24,Arc length,The arc length of an arc of a circle is the product of the circumference of the circle and the ratio of the corresponding central angle measure in degrees to 360. The arc length is also the product of the radius and central angle measure in radians.,Área,El área de una figura plana es la cantidad de unidades cuadradas que contiene la figura.
26,Argument,"In the complex plane, the argument is the angle measured counterclockwise from the positive real axis to the segment connecting the complex number to the origin.",Argumento,"En el plano complejo, el argumento es el ángulo que se mide en el sentido contrario a las manecillas del reloj desde el eje real positivo hasta el segmento."
27,Arithmetic mean,"The arithmetic mean, or average, of two numbers is their sum divided by two.",Media aritmética,"La media aritmética, o promedio, de dos números es su suma dividida por dos."
28,Arithmetic sequence,A number sequence called an arithmetic sequence is formed by adding a fixed number to each previous term to find the next term. The fixed number is called the common difference.,Progresión aritmética,En una progresión aritmética la diferencia entre términos consecutivos es un número constante. El número constante se llama la diferencia común.
29,Arithmetic series,An arithmetic series is a series whose terms form an arithmetic sequence.,Serie aritmética,Una serie aritmética es una serie cuyos términos forman una progresión aritmética.
